Country,Year,GDP,Quantile_Bin
Nigeria,2001,5.91768464920371,Below 90th %ile
Nigeria,2000,5.01593475931152,Below 90th %ile
Nigeria,1999,0.584126892918889,Below 90th %ile
Nigeria,1998,2.58125410192937,Below 90th %ile
Nigeria,1997,2.93709941924898,Below 90th %ile
Nigeria,1996,4.19592404660108,Below 90th %ile
Nigeria,1995,-0.0726647639378371,Below 90th %ile
Nigeria,1994,-1.81492448525675,Below 90th %ile
Nigeria,1993,-2.03511877399139,Below 90th %ile
Nigeria,1992,4.63119294607692,Below 90th %ile
Nigeria,1991,0.358352601660286,Below 90th %ile
Nigeria,1990,11.7768859342067,99th %ile
Nigeria,1989,1.91938129589555,Below 90th %ile
Nigeria,1988,7.33402548758716,Below 90th %ile
Nigeria,1987,3.20012546702944,Below 90th %ile
Nigeria,1986,0.0609452742066878,Below 90th %ile
Nigeria,1985,5.91302745911393,Below 90th %ile
Nigeria,1984,-1.11562321716821,Below 90th %ile
Nigeria,1983,-10.9240850339388,Below 90th %ile
Nigeria,1982,-6.80338881534801,Below 90th %ile
Nigeria,1981,-13.1278804850514,Below 90th %ile
Nigeria,1980,4.20483104427292,Below 90th %ile
Nigeria,1979,6.75943093519177,Below 90th %ile
Nigeria,1978,-5.76415839390282,Below 90th %ile
Nigeria,1977,6.02411784954168,Below 90th %ile
Nigeria,1976,9.04235172630207,90th-95th %ile
Nigeria,1975,-5.22774755532079,Below 90th %ile
Nigeria,1974,11.1606745454862,95th-98th %ile
Nigeria,1973,5.39276048395909,Below 90th %ile
Nigeria,1972,3.3642620350363,Below 90th %ile
Nigeria,1971,14.2375315562508,99th %ile
Nigeria,1970,3.5806358228502595,Below 90th %ile
Nigeria,1969,3.5806358228502595,Below 90th %ile
Nigeria,1968,-1.24836024581224,Below 90th %ile
Nigeria,1967,-15.7436282082049,Below 90th %ile
Nigeria,1966,-4.25051418415514,Below 90th %ile
Nigeria,1965,4.88497683412908,Below 90th %ile
Nigeria,1964,4.95048866604155,Below 90th %ile
Nigeria,1963,8.57861891529701,90th-95th %ile
Nigeria,1962,4.10299258868014,Below 90th %ile
Nigeria,1961,0.191795489572229,Below 90th %ile
Nigeria,1960,3.5806358228502595,Below 90th %ile
